#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
301472:6106,08/20/17 14:13:17,796,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.010089874,0.009774779
301475:6106,08/20/17 19:47:00,12,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000151550,0.000129850
301476:6106,08/20/17 19:53:54,844,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.013212896,0.012844021
301519:6110,08/21/17 13:13:28,203,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.002529669,0.002276433
301524:6110,08/21/17 14:45:22,257,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.003551715,0.003423193
301529:6110,08/21/17 17:22:10,49,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000609259,0.000548206
301530:6110,08/21/17 17:44:34,107,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001277065,0.001194592
301531:6110,08/21/17 18:34:34,393,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.006226895,0.006018088
301532:6110,08/21/17 21:12:59,611,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.007996202,0.007832161
301567:6114,08/22/17 08:46:48,359,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004547750,0.004336959
301627:6116,08/22/17 23:21:42,887,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.010474572,0.010265301
301664:6119,08/23/17 12:24:23,411,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.005479057,0.005270562
301665:6119,08/23/17 15:07:51,463,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.005814758,0.005669495
301694:6123,08/24/17 04:23:23,67,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000811465,0.000734620
301912:6136,08/26/17 13:57:23,332,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.003335772,0.003189877
301913:6136,08/26/17 16:26:53,55,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000522866,0.000496487
301914:6136,08/26/17 16:50:05,350,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.003043230,0.002962284
301941:6138,08/27/17 09:32:02,538,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.006414771,0.006208888
301959:6140,08/27/17 18:23:25,1909,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.026350291,0.025652683
301960:6140,08/28/17 06:47:35,147,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001819622,0.001782196
301970:6141,08/28/17 10:42:12,118,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001440950,0.001396819
301984:6142,08/28/17 14:13:01,300,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.003675621,0.003467166
301985:6142,08/28/17 16:11:52,360,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004982967,0.004819113
301986:6142,08/28/17 18:34:30,379,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004871310,0.004716868
301987:6142,08/28/17 21:03:26,1128,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.016372579,0.016094317
301997:6143,08/29/17 06:55:19,361,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004678750,0.004462781
301998:6143,08/29/17 09:19:31,1704,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.023569789,0.023120320
302019:6146,08/30/17 03:40:54,53,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000612642,0.000569554
